Country,Happiness.Rank,Happiness.Score,Number of Records,Factors,Values,Year
Switzerland,1,7.59,1,Absence.of.Corruption,0.42,2015
Switzerland,1,7.59,1,Economy..GDP.per.Capita.,1.4,2015
Switzerland,1,7.59,1,Family.Support,1.35,2015
Switzerland,1,7.59,1,Freedom,0.67,2015
Switzerland,1,7.59,1,Generosity,0.3,2015
Switzerland,1,7.59,1,Health.Life.Expectancy,0.94,2015
Iceland,2,7.56,1,Absence.of.Corruption,0.14,2015
Iceland,2,7.56,1,Economy..GDP.per.Capita.,1.3,2015
Iceland,2,7.56,1,Family.Support,1.4,2015
Iceland,2,7.56,1,Freedom,0.63,2015
Iceland,2,7.56,1,Generosity,0.44,2015
Iceland,2,7.56,1,Health.Life.Expectancy,0.95,2015
Denmark,3,7.53,1,Absence.of.Corruption,0.48,2015
Denmark,3,7.53,1,Economy..GDP.per.Capita.,1.33,2015
Denmark,3,7.53,1,Family.Support,1.36,2015
Denmark,3,7.53,1,Freedom,0.65,2015
Denmark,3,7.53,1,Generosity,0.34,2015
Denmark,3,7.53,1,Health.Life.Expectancy,0.87,2015
Norway,4,7.52,1,Absence.of.Corruption,0.37,2015
Norway,4,7.52,1,Economy..GDP.per.Capita.,1.46,2015
Norway,4,7.52,1,Family.Support,1.33,2015
Norway,4,7.52,1,Freedom,0.67,2015
Norway,4,7.52,1,Generosity,0.35,2015
Norway,4,7.52,1,Health.Life.Expectancy,0.89,2015
Canada,5,7.43,1,Absence.of.Corruption,0.33,2015
Canada,5,7.43,1,Economy..GDP.per.Capita.,1.33,2015
Canada,5,7.43,1,Family.Support,1.32,2015
Canada,5,7.43,1,Freedom,0.63,2015
Canada,5,7.43,1,Generosity,0.46,2015
Canada,5,7.43,1,Health.Life.Expectancy,0.91,2015
Finland,6,7.41,1,Absence.of.Corruption,0.41,2015
Finland,6,7.41,1,Economy..GDP.per.Capita.,1.29,2015
Finland,6,7.41,1,Family.Support,1.32,2015
Finland,6,7.41,1,Freedom,0.64,2015
Finland,6,7.41,1,Generosity,0.23,2015
Finland,6,7.41,1,Health.Life.Expectancy,0.89,2015
Netherlands,7,7.38,1,Absence.of.Corruption,0.32,2015
Netherlands,7,7.38,1,Economy..GDP.per.Capita.,1.33,2015
